id,provider,vehicleType,datetime_start,datetime_end,longitude_start,latitude_start,longitude_end,latitude_end
14909nextbike,nextbike,bycicle,2020-01-13 13:42:00+01:00,2020-01-13 14:10:00+01:00,13.39196063,52.50772563,13.362336,52.498186
14489nextbike,nextbike,bycicle,2019-12-30 13:14:00+01:00,2019-12-30 13:47:00+01:00,13.37740877,52.51347427,13.3965986,52.53853248
YmlrZTo6Y2FsbGFiaWtlOjoxNzQ3ODM=,callabike,bicycle,2020-02-03 03:18:07+01:00,2020-02-03 03:23:07+01:00,13.448169,52.51389,13.448621,52.51351500000001
16163nextbike,nextbike,bycicle,2019-11-24 18:33:00+01:00,2019-11-24 18:42:00+01:00,13.38505982,52.53252862,13.37198325,52.50947737
13955nextbike,nextbike,bycicle,2019-10-11 10:44:00+02:00,2019-10-11 10:57:00+02:00,13.444991111755373,52.50337665738118,13.4494851529598,52.516490587935714
YmlrZTo6Y2FsbGFiaWtlOjoxNzU5NDY=,callabike,bicycle,2019-10-07 09:38:08+02:00,2019-10-07 12:33:08+02:00,13.4396715,52.4796,13.435757999999998,52.469086
YmlrZTo6Y2FsbGFiaWtlOjoxNzY0Njk=,callabike,bicycle,2020-03-14 03:23:26+01:00,2020-03-14 03:28:08+01:00,13.340653,52.50389499999999,13.341016,52.50640500000001
14686nextbike,nextbike,bycicle,2019-12-31 00:47:00+01:00,2019-12-31 01:18:00+01:00,13.34051927,52.50538159,13.33668477,52.51372833
14881nextbike,nextbike,bycicle,2020-01-10 11:29:00+01:00,2020-01-10 11:47:00+01:00,13.38907082,52.52427563,13.3423006,52.52320317
YmlrZTo6Y2FsbGFiaWtlOjoxNzU0MTk=,callabike,bicycle,2020-02-05 11:53:07+01:00,2020-02-05 12:23:07+01:00,13.391454,52.513477,13.376651,52.50623
15240nextbike,nextbike,bycicle,2019-12-17 14:22:00+01:00,2019-12-17 14:26:00+01:00,13.43986562,52.50537495,13.443641,52.5045012
15320nextbike,nextbike,bycicle,2020-01-20 18:51:00+01:00,2020-01-20 19:06:00+01:00,13.3608144,52.50214452,13.3686031,52.52425940000001
14861nextbike,nextbike,bycicle,2019-10-18 08:50:00+02:00,2019-10-18 09:07:00+02:00,13.4487957,52.5053106,13.4187912773,52.5122611558
14326nextbike,nextbike,bycicle,2019-10-05 11:06:00+02:00,2019-10-05 12:01:00+02:00,13.369701504707336,52.525898879631264,13.386773000000002,52.49007099999999
16365nextbike,nextbike,bycicle,2019-12-18 17:21:00+01:00,2019-12-18 17:28:00+01:00,13.33668477,52.51372833,13.34256657,52.52452757
13857nextbike,nextbike,bycicle,2019-10-21 12:17:00+02:00,2019-10-21 12:30:00+02:00,13.39342168,52.51335363,13.3914688,52.51127460000001
YmlrZTo6Y2FsbGFiaWtlOjoxNzc1MzM=,callabike,bicycle,2020-01-31 17:08:13+01:00,2020-01-31 17:33:09+01:00,13.37728,52.506714,13.377457,52.49205
14515nextbike,nextbike,bycicle,2019-12-09 17:05:00+01:00,2019-12-09 17:11:00+01:00,13.39697964,52.51291714,13.39027414,52.50942053
YmlrZTo6Y2FsbGFiaWtlOjoxNzc1NjY=,callabike,bicycle,2019-12-22 03:13:07+01:00,2019-12-22 03:18:08+01:00,13.386160999999998,52.492252,13.386424,52.493008
14316nextbike,nextbike,bycicle,2019-10-27 02:48:00+01:00,2019-10-27 03:24:00+01:00,13.4084875,52.53737320000001,13.3455974981189,52.53005055174261
16061nextbike,nextbike,bycicle,2019-11-22 11:46:00+01:00,2019-11-22 11:55:00+01:00,13.41663385,52.51980765,13.40911458,52.51725145
14395nextbike,nextbike,bycicle,2019-11-12 11:12:00+01:00,2019-11-12 11:47:00+01:00,13.33852517,52.503658400000006,13.35225524,52.50701419
YmlrZTo6Y2FsbGFiaWtlOjoxNzYwMzM=,callabike,bicycle,2019-10-17 16:53:07+02:00,2019-10-17 17:13:08+02:00,13.373059,52.506336,13.402772,52.488636
YmlrZTo6Y2FsbGFiaWtlOjoxODQxNzA=,callabike,bicycle,2020-01-27 10:03:10+01:00,2020-01-27 10:38:07+01:00,13.391315,52.51241,13.45499,52.49649
14498nextbike,nextbike,bycicle,2019-11-25 16:31:00+01:00,2019-11-25 17:40:00+01:00,13.449569,52.507848,13.44128478,52.50153785
YmlrZTo6Y2FsbGFiaWtlOjoxNzU1MTg=,callabike,bicycle,2019-10-07 03:18:09+02:00,2019-10-07 03:23:08+02:00,13.313135,52.498497,13.312792000000002,52.49896999999999
15084nextbike,nextbike,bycicle,2019-10-29 18:14:00+01:00,2019-10-29 18:51:00+01:00,13.38132868,52.51490092,13.31263818,52.50004307
14279nextbike,nextbike,bycicle,2019-10-10 02:10:00+02:00,2019-10-10 02:25:00+02:00,13.40294596,52.51576946,13.376144170761108,52.50992982659496
YmlrZTo6Y2FsbGFiaWtlOjoxODM3NTg=,callabike,bicycle,2020-03-14 03:23:26+01:00,2020-03-14 03:28:08+01:00,13.439595815,52.523972213,13.438645,52.523712
YmlrZTo6Y2FsbGFiaWtlOjoxNzU3NTk=,callabike,bicycle,2020-02-21 03:13:07+01:00,2020-02-21 03:18:27+01:00,13.369370000000002,52.54468000000001,13.371273,52.54462
14415nextbike,nextbike,bycicle,2019-11-29 11:34:00+01:00,2019-11-29 12:01:00+01:00,13.39096997,52.52710862,13.429107,52.48999
16188nextbike,nextbike,bycicle,2019-11-23 11:12:00+01:00,2019-11-23 11:30:00+01:00,13.40161162,52.53747286,13.369701504707336,52.525898879631264
13839nextbike,nextbike,bycicle,2019-10-05 16:47:00+02:00,2019-10-05 17:20:00+02:00,13.3294738,52.5034309,13.3386886,52.50250989999999
14322nextbike,nextbike,bycicle,2019-12-29 19:41:00+01:00,2019-12-29 20:07:00+01:00,13.29769453,52.49381447,13.38728065,52.49270597
15268nextbike,nextbike,bycicle,2020-01-10 14:50:00+01:00,2020-01-10 15:02:00+01:00,13.36472015,52.50993768,13.3686031,52.52425940000001
YmlrZTo6Y2FsbGFiaWtlOjoxNzY2Mzg=,callabike,bicycle,2019-10-05 16:03:10+02:00,2019-10-05 16:43:09+02:00,13.431363,52.50169399999999,13.433487,52.48453000000001
YmlrZTo6Y2FsbGFiaWtlOjoxNzc5Mzk=,callabike,bicycle,2019-12-13 19:48:10+01:00,2019-12-13 20:13:10+01:00,13.391011,52.51406,13.424661,52.494415
14214nextbike,nextbike,bycicle,2019-11-25 11:35:00+01:00,2019-11-25 13:07:00+01:00,13.3686031,52.52425940000001,13.38111172,52.51623067
14584nextbike,nextbike,bycicle,2019-11-02 10:17:00+01:00,2019-11-02 12:49:00+01:00,13.333963751792908,52.5072884324783,13.34051927,52.50538159
YmlrZTo6Y2FsbGFiaWtlOjoxNzQ2Mzk=,callabike,bicycle,2020-03-12 11:53:08+01:00,2020-03-12 12:08:09+01:00,13.404597,52.52771,13.415026999999998,52.521896
13500nextbike,nextbike,bycicle,2020-01-02 10:46:00+01:00,2020-01-02 10:59:00+01:00,13.39074873,52.51405493,13.40294596,52.51576946
13071nextbike,nextbike,bycicle,2019-12-10 15:46:00+01:00,2019-12-10 16:16:00+01:00,13.349234,52.50851,13.37658912,52.51220583
14654nextbike,nextbike,bycicle,2019-11-12 10:27:00+01:00,2019-11-12 10:33:00+01:00,13.384410738945006,52.51185608314311,13.39816727,52.50999725
14084nextbike,nextbike,bycicle,2019-10-22 13:21:00+02:00,2019-10-22 13:31:00+02:00,13.433468341827393,52.50982208432867,13.43545262,52.51396407
13514nextbike,nextbike,bycicle,2019-11-17 20:20:00+01:00,2019-11-17 20:32:00+01:00,13.385470000000002,52.499681,13.41568725,52.4903466
YmlrZTo6Y2FsbGFiaWtlOjoxNzU4MTg=,callabike,bicycle,2019-10-19 20:08:08+02:00,2019-10-19 20:43:09+02:00,13.333993,52.523968,13.389710999999998,52.529842
13579nextbike,nextbike,bycicle,2019-11-24 12:18:00+01:00,2019-11-24 13:18:00+01:00,13.3686031,52.52425940000001,13.34051927,52.50538159
16331nextbike,nextbike,bycicle,2019-10-07 15:54:00+02:00,2019-10-07 16:16:00+02:00,13.38955927,52.51814653,13.3685934,52.5228889
16163nextbike,nextbike,bycicle,2019-10-14 09:36:00+02:00,2019-10-14 10:04:00+02:00,13.37675,52.5101769,13.42485554,52.52782935
14940nextbike,nextbike,bycicle,2019-10-30 13:54:00+01:00,2019-10-30 14:17:00+01:00,13.37661143,52.51206608,13.38796963,52.53190484
15393nextbike,nextbike,bycicle,2019-11-07 11:49:00+01:00,2019-11-07 11:53:00+01:00,13.43961913,52.52393338,13.411366939544678,52.52606532937792
YmlrZTo6Y2FsbGFiaWtlOjoxNzcxMjQ=,callabike,bicycle,2019-12-10 20:58:18+01:00,2019-12-10 22:38:11+01:00,13.38394,52.526695,13.408569,52.53749000000001
YmlrZTo6Y2FsbGFiaWtlOjoxNzYzNTU=,callabike,bicycle,2019-12-04 11:08:41+01:00,2019-12-04 11:33:10+01:00,13.384685500000002,52.52186999999999,13.364102,52.50083000000001
YmlrZTo6Y2FsbGFiaWtlOjoxODQwNzA=,callabike,bicycle,2019-11-29 23:08:09+01:00,2019-11-29 23:28:25+01:00,13.336571,52.515125,13.350942000000002,52.539494
YmlrZTo6Y2FsbGFiaWtlOjoxODQxNDM=,callabike,bicycle,2020-02-21 11:53:08+01:00,2020-02-21 12:18:08+01:00,13.393289,52.50836999999999,13.400509,52.523716
15063nextbike,nextbike,bycicle,2019-10-03 13:59:00+02:00,2019-10-03 14:32:00+02:00,13.38111172,52.51623067,13.333963751792908,52.5072884324783
YmlrZTo6Y2FsbGFiaWtlOjoxNzQ2NTI=,callabike,bicycle,2019-12-05 12:33:23+01:00,2019-12-05 12:43:07+01:00,13.389321202,52.514825766,13.387831,52.524483
13280nextbike,nextbike,bycicle,2019-10-28 13:25:00+01:00,2019-10-28 13:32:00+01:00,13.3930897,52.5125406,13.376144170761108,52.50992982659496
15900nextbike,nextbike,bycicle,2019-10-06 14:35:00+02:00,2019-10-06 15:04:00+02:00,13.404886722564695,52.540801790535575,13.389146599999998,52.51514770000001
13702nextbike,nextbike,bycicle,2019-12-21 15:37:00+01:00,2019-12-21 15:44:00+01:00,13.40068245,52.52166268,13.38876377,52.51798602
13859nextbike,nextbike,bycicle,2019-12-19 17:53:00+01:00,2019-12-19 18:02:00+01:00,13.321883082389832,52.52282434147497,13.33668477,52.51372833
13824nextbike,nextbike,bycicle,2019-10-21 12:20:00+02:00,2019-10-21 12:41:00+02:00,13.39539795,52.50808768,13.416074300000002,52.5253058
13420nextbike,nextbike,bycicle,2019-11-26 20:26:00+01:00,2019-11-26 20:38:00+01:00,13.38638242,52.52234332,13.41542453,52.49024302
16180nextbike,nextbike,bycicle,2019-12-13 13:17:00+01:00,2019-12-13 15:08:00+01:00,13.32198162,52.51152510000001,13.41019367,52.50340198
16315nextbike,nextbike,bycicle,2019-10-29 07:37:00+01:00,2019-10-29 07:55:00+01:00,13.376052975654602,52.50807531679524,13.43576683,52.50801573
YmlrZTo6Y2FsbGFiaWtlOjoxODM4MDY=,callabike,bicycle,2019-10-08 18:43:08+02:00,2019-10-08 18:53:08+02:00,13.450351,52.507324,13.441971,52.514214
16092nextbike,nextbike,bycicle,2019-12-11 17:53:00+01:00,2019-12-11 18:00:00+01:00,13.376052975654602,52.50807531679524,13.397287,52.51070053
16066nextbike,nextbike,bycicle,2019-10-07 08:41:00+02:00,2019-10-07 09:14:00+02:00,13.428720000000002,52.486772,13.42863042,52.53264
16230nextbike,nextbike,bycicle,2019-10-04 11:31:00+02:00,2019-10-04 11:46:00+02:00,13.41501343,52.52518147,13.411227464675903,52.52384921143806
YmlrZTo6Y2FsbGFiaWtlOjoxNzgxNjA=,callabike,bicycle,2019-12-27 13:18:24+01:00,2019-12-27 13:33:09+01:00,13.390238,52.525753,13.388371,52.519688
YmlrZTo6Y2FsbGFiaWtlOjoxNzY4ODE=,callabike,bicycle,2019-12-09 03:13:08+01:00,2019-12-09 03:18:08+01:00,13.340426999999998,52.503185,13.340426,52.50254399999999
14977nextbike,nextbike,bycicle,2019-11-10 15:46:00+01:00,2019-11-10 16:46:00+01:00,13.461872,52.51204,13.41114312,52.53994465
16214nextbike,nextbike,bycicle,2019-12-10 13:35:00+01:00,2019-12-10 13:55:00+01:00,13.39246835,52.52376753,13.385470000000002,52.499681
15895nextbike,nextbike,bycicle,2019-11-13 17:29:00+01:00,2019-11-13 17:35:00+01:00,13.399457931518551,52.53498089194869,13.39713183,52.53668284
13405nextbike,nextbike,bycicle,2019-10-29 14:59:00+01:00,2019-10-29 15:27:00+01:00,13.335328,52.50415699999999,13.385526,52.48451800000001
13949nextbike,nextbike,bycicle,2019-10-08 08:46:00+02:00,2019-10-08 09:05:00+02:00,13.4450084,52.49732210000001,13.40793217,52.51019155
15862nextbike,nextbike,bycicle,2019-10-27 12:51:00+01:00,2019-10-27 14:02:00+01:00,13.4090412,52.538805,13.38111172,52.51623067
YmlrZTo6Y2FsbGFiaWtlOjoxNzYxMzU=,callabike,bicycle,2019-12-16 03:13:07+01:00,2019-12-16 03:18:09+01:00,13.33165,52.504158,13.331969,52.505005
16057nextbike,nextbike,bycicle,2019-12-19 16:02:00+01:00,2019-12-19 16:25:00+01:00,13.3910218,52.51137463,13.38992593,52.51049855
15879nextbike,nextbike,bycicle,2019-11-13 20:34:00+01:00,2019-11-13 20:41:00+01:00,13.444812699999998,52.48354755,13.42346422,52.47389337
YmlrZTo6Y2FsbGFiaWtlOjoxNzUyNjI=,callabike,bicycle,2019-12-04 03:13:07+01:00,2019-12-04 03:18:07+01:00,13.4309225,52.50277,13.430729,52.50187
13405nextbike,nextbike,bycicle,2019-11-25 18:06:00+01:00,2019-11-25 18:29:00+01:00,13.40294596,52.51576946,13.35909908,52.49652787
14754nextbike,nextbike,bycicle,2019-10-20 13:13:00+02:00,2019-10-20 13:29:00+02:00,13.42442948,52.48609095,13.44449758529663,52.48512581507352
15955nextbike,nextbike,bycicle,2019-11-09 13:31:00+01:00,2019-11-09 14:21:00+01:00,13.335328,52.50415699999999,13.40345093,52.51856727
14262nextbike,nextbike,bycicle,2019-10-06 13:23:00+02:00,2019-10-06 13:37:00+02:00,13.461398999999998,52.5171095,13.4534365,52.50801538
14327nextbike,nextbike,bycicle,2019-11-19 22:33:00+01:00,2019-11-19 22:56:00+01:00,13.388491,52.51566542,13.420875,52.491846
14608nextbike,nextbike,bycicle,2020-01-08 19:33:00+01:00,2020-01-08 19:58:00+01:00,13.371686339378355,52.50895687170429,13.306448,52.508826
YmlrZTo6Y2FsbGFiaWtlOjoxNzc3OTg=,callabike,bicycle,2020-01-28 03:18:10+01:00,2020-01-28 03:23:31+01:00,13.410075,52.524548,13.409263,52.524895
YmlrZTo6Y2FsbGFiaWtlOjoxNzc1NDY=,callabike,bicycle,2019-11-25 22:53:10+01:00,2019-11-25 23:08:11+01:00,13.416287,52.501972,13.423491,52.491077
13423nextbike,nextbike,bycicle,2019-10-28 09:18:00+01:00,2019-10-28 09:33:00+01:00,13.3686031,52.52425940000001,13.35157868,52.50570913
YmlrZTo6Y2FsbGFiaWtlOjoxNzQ2MzY=,callabike,bicycle,2020-02-05 16:23:08+01:00,2020-02-05 16:38:13+01:00,13.37119,52.50618000000001,13.37724,52.50745799999999
13898nextbike,nextbike,bycicle,2019-10-11 12:08:00+02:00,2019-10-11 12:44:00+02:00,13.374248,52.500348,13.3249582,52.5099308
15396nextbike,nextbike,bycicle,2019-12-13 09:29:00+01:00,2019-12-13 09:38:00+01:00,13.376144170761108,52.50992982659496,13.349234,52.50851
YmlrZTo6Y2FsbGFiaWtlOjoxNzUxNDc=,callabike,bicycle,2019-10-16 20:48:23+02:00,2019-10-16 20:58:08+02:00,13.384359,52.52705,13.386568,52.52137
13394nextbike,nextbike,bycicle,2019-10-07 09:21:00+02:00,2019-10-07 09:26:00+02:00,13.37033127,52.52413785,13.37093368,52.52339443
16007nextbike,nextbike,bycicle,2019-12-12 09:19:00+01:00,2019-12-12 09:29:00+01:00,13.348638199999998,52.50456027,13.346799,52.494602
YmlrZTo6Y2FsbGFiaWtlOjoxNzcwNjM=,callabike,bicycle,2020-02-08 18:03:07+01:00,2020-02-08 18:28:10+01:00,13.46756,52.50960500000001,13.465709,52.52264399999999
YmlrZTo6Y2FsbGFiaWtlOjoxNzgxOTg=,callabike,bicycle,2020-02-08 13:33:07+01:00,2020-02-08 13:43:08+01:00,13.38963,52.51420600000001,13.388572,52.517902
YmlrZTo6Y2FsbGFiaWtlOjoxNzY2MjU=,callabike,bicycle,2019-11-26 18:13:43+01:00,2019-11-26 18:33:10+01:00,13.346514,52.508766,13.370826,52.52088000000001
14639nextbike,nextbike,bycicle,2019-11-25 16:50:00+01:00,2019-11-25 17:22:00+01:00,13.4027854,52.5214284,13.376144170761108,52.50992982659496
YmlrZTo6Y2FsbGFiaWtlOjoxNzQ4OTQ=,callabike,bicycle,2020-01-13 20:18:08+01:00,2020-01-13 20:33:08+01:00,13.408135,52.524685,13.418107999999998,52.53137
14408nextbike,nextbike,bycicle,2019-10-26 09:43:00+02:00,2019-10-26 10:08:00+02:00,13.4209691,52.4960299,13.3894218,52.49253879999999
YmlrZTo6Y2FsbGFiaWtlOjoxODY4NDQ=,callabike,bicycle,2019-11-24 21:03:07+01:00,2019-11-24 21:13:08+01:00,13.304997,52.512005,13.296792000000002,52.50959399999999
13797nextbike,nextbike,bycicle,2019-11-29 16:49:00+01:00,2019-11-29 16:54:00+01:00,13.326504000000002,52.513071,13.33668477,52.51372833
YmlrZTo6Y2FsbGFiaWtlOjoxNzc3NzU=,callabike,bicycle,2019-11-29 14:33:08+01:00,2019-11-29 15:08:09+01:00,13.376205,52.528694,13.394602,52.50524
13034nextbike,nextbike,bycicle,2019-10-25 10:53:00+02:00,2019-10-25 11:11:00+02:00,13.32159648,52.49057197,13.2830956,52.50661613
YmlrZTo6Y2FsbGFiaWtlOjoxNzcxMjQ=,callabike,bicycle,2019-12-16 14:53:08+01:00,2019-12-16 15:13:09+01:00,13.389974,52.508774,13.406822,52.523827
16366nextbike,nextbike,bycicle,2019-11-29 11:54:00+01:00,2019-11-29 13:40:00+01:00,13.43189535,52.50181195,13.447256,52.486957
13748nextbike,nextbike,bycicle,2019-11-29 09:18:00+01:00,2019-11-29 09:28:00+01:00,13.376052975654602,52.50807531679524,13.382023572921751,52.504490144666576
YmlrZTo6Y2FsbGFiaWtlOjoxNzQ2NTU=,callabike,bicycle,2019-10-22 17:13:11+02:00,2019-10-22 17:48:09+02:00,13.373551,52.506397,13.446924,52.491035
14992nextbike,nextbike,bycicle,2019-11-19 19:51:00+01:00,2019-11-19 19:59:00+01:00,13.479364000000002,52.515903,13.467607498168944,52.5045554509631
13468nextbike,nextbike,bycicle,2019-12-10 18:10:00+01:00,2019-12-10 18:25:00+01:00,13.39027414,52.50942053,13.42485554,52.52782935
16020nextbike,nextbike,bycicle,2019-10-10 18:45:00+02:00,2019-10-10 19:02:00+02:00,13.39697964,52.51291714,13.40545907,52.5291513
13179nextbike,nextbike,bycicle,2019-11-04 13:13:00+01:00,2019-11-04 13:43:00+01:00,13.40636532,52.51002447,13.40753077,52.50953935
14046nextbike,nextbike,bycicle,2019-10-15 21:16:00+02:00,2019-10-15 21:33:00+02:00,13.45836277,52.51058625,13.4403546,52.5171874
14894nextbike,nextbike,bycicle,2019-11-02 12:00:00+01:00,2019-11-02 12:25:00+01:00,13.39945365,52.52984245,13.405197858810425,52.52968463945157
YmlrZTo6Y2FsbGFiaWtlOjoxNzUxOTQ=,callabike,bicycle,2019-11-29 12:53:24+01:00,2019-11-29 13:03:08+01:00,13.395077,52.514336,13.389472,52.51700200000001
YmlrZTo6Y2FsbGFiaWtlOjoxNzU2MzI=,callabike,bicycle,2020-02-21 15:03:09+01:00,2020-02-21 15:28:08+01:00,13.387455,52.54146,13.372144,52.554684
15090nextbike,nextbike,bycicle,2019-11-26 10:50:00+01:00,2019-11-26 11:02:00+01:00,13.39108943939209,52.50410157019618,13.40212572,52.51134225
YmlrZTo6Y2FsbGFiaWtlOjoxODM5NTY=,callabike,bicycle,2019-10-07 03:18:09+02:00,2019-10-07 03:23:08+02:00,13.300193,52.527924,13.301021,52.52720600000001
13915nextbike,nextbike,bycicle,2019-12-09 15:11:00+01:00,2019-12-09 15:36:00+01:00,13.3910949,52.52704347,13.42699767,52.49639827
YmlrZTo6Y2FsbGFiaWtlOjoxNzUxODk=,callabike,bicycle,2019-10-08 08:23:07+02:00,2019-10-08 08:38:07+02:00,13.388175,52.530556,13.378698000000002,52.512226
13764nextbike,nextbike,bycicle,2019-12-06 12:55:00+01:00,2019-12-06 13:00:00+01:00,13.32649033,52.51585917,13.33668477,52.51372833
15058nextbike,nextbike,bycicle,2019-10-25 09:15:00+02:00,2019-10-25 09:28:00+02:00,13.411227464675903,52.52384921143806,13.39322992,52.51403691
14048nextbike,nextbike,bycicle,2019-12-04 13:58:00+01:00,2019-12-04 14:09:00+01:00,13.3930489,52.50881700000001,13.3964616,52.5115027
13358nextbike,nextbike,bycicle,2020-01-12 22:06:00+01:00,2020-01-12 22:21:00+01:00,13.33627552,52.52329425,13.369701504707336,52.525898879631264
13160nextbike,nextbike,bycicle,2019-11-29 00:00:00+01:00,2019-11-29 00:14:00+01:00,13.42529067,52.49007318,13.42594654,52.49181208
13298nextbike,nextbike,bycicle,2020-01-17 13:02:00+01:00,2020-01-17 13:16:00+01:00,13.432277,52.51518100000001,13.43137855,52.51417475
13601nextbike,nextbike,bycicle,2019-12-18 19:24:00+01:00,2019-12-18 19:56:00+01:00,13.411366939544678,52.52606532937792,13.387436270713804,52.52406462692415
13673nextbike,nextbike,bycicle,2020-01-03 19:58:00+01:00,2020-01-03 20:21:00+01:00,13.4187001,52.54272949,13.43065725,52.49610995
15090nextbike,nextbike,bycicle,2019-11-14 14:44:00+01:00,2019-11-14 15:04:00+01:00,13.36988422,52.50941162,13.367207050323485,52.50823203896029
13735nextbike,nextbike,bycicle,2019-10-30 14:35:00+01:00,2019-10-30 15:42:00+01:00,13.31271088,52.50001817,13.39763027,52.52369109999999
15382nextbike,nextbike,bycicle,2019-12-10 09:50:00+01:00,2019-12-10 09:55:00+01:00,13.3686031,52.52425940000001,13.37693015,52.520811
14559nextbike,nextbike,bycicle,2019-12-11 20:45:00+01:00,2019-12-11 22:31:00+01:00,13.362336,52.498186,13.34887183,52.51407125
YmlrZTo6Y2FsbGFiaWtlOjoxNzY1NDk=,callabike,bicycle,2019-12-11 15:03:11+01:00,2019-12-11 15:18:28+01:00,13.32604,52.50933000000001,13.33095,52.506554
YmlrZTo6Y2FsbGFiaWtlOjoxODM3NDA=,callabike,bicycle,2019-12-30 11:53:07+01:00,2019-12-30 12:08:10+01:00,13.349396,52.50035,13.339171,52.497158
13303nextbike,nextbike,bycicle,2019-11-11 23:50:00+01:00,2019-11-11 23:56:00+01:00,13.376718,52.487904,13.38553988,52.48982295
YmlrZTo6Y2FsbGFiaWtlOjoxNzc3MjE=,callabike,bicycle,2019-12-20 11:43:08+01:00,2019-12-20 12:13:37+01:00,13.393703,52.50859000000001,13.436714000000002,52.49936999999999
14335nextbike,nextbike,bycicle,2019-11-28 17:55:00+01:00,2019-11-28 18:32:00+01:00,13.382023572921751,52.504490144666576,13.31206572,52.50882065
15825nextbike,nextbike,bycicle,2019-11-27 12:20:00+01:00,2019-11-27 12:37:00+01:00,13.41202407,52.51777038,13.39267953,52.52808555
16338nextbike,nextbike,bycicle,2019-12-06 08:49:00+01:00,2019-12-06 08:58:00+01:00,13.4273391583,52.54509437189999,13.41662742,52.53486472
15807nextbike,nextbike,bycicle,2019-10-22 19:17:00+02:00,2019-10-22 19:27:00+02:00,13.39322992,52.51403691,13.38585467,52.5195702
13997nextbike,nextbike,bycicle,2019-10-23 11:24:00+02:00,2019-10-23 12:04:00+02:00,13.39188962,52.51029213,13.4229405,52.5392127
15915nextbike,nextbike,bycicle,2020-01-14 06:23:00+01:00,2020-01-14 06:37:00+01:00,13.415278,52.494567,13.44490357,52.50612328
13796nextbike,nextbike,bycicle,2019-10-17 12:36:00+02:00,2019-10-17 12:49:00+02:00,13.38111172,52.51623067,13.3924899,52.5173618
14374nextbike,nextbike,bycicle,2019-12-06 18:34:00+01:00,2019-12-06 18:44:00+01:00,13.40640923,52.51140529999999,13.382023572921751,52.504490144666576
YmlrZTo6Y2FsbGFiaWtlOjoxNzYwNDI=,callabike,bicycle,2019-12-16 15:18:08+01:00,2019-12-16 15:48:08+01:00,13.394467,52.51249,13.455568,52.526783
14254nextbike,nextbike,bycicle,2019-11-16 08:52:00+01:00,2019-11-16 09:14:00+01:00,13.467607498168944,52.5045554509631,13.4364057,52.50093147
14978nextbike,nextbike,bycicle,2019-11-10 07:13:00+01:00,2019-11-10 07:18:00+01:00,13.453413,52.515632,13.451117000000002,52.521851
19993nextbike,nextbike,bycicle,2019-10-11 09:47:00+02:00,2019-10-11 11:21:00+02:00,13.36358982,52.50823412,13.446953,52.526464
13037nextbike,nextbike,bycicle,2019-11-26 11:04:00+01:00,2019-11-26 11:52:00+01:00,13.321883082389832,52.52282434147497,13.387436270713804,52.52406462692415
16240nextbike,nextbike,bycicle,2019-12-05 12:54:00+01:00,2019-12-05 13:03:00+01:00,13.322788,52.513434,13.3239411,52.52308802
YmlrZTo6Y2FsbGFiaWtlOjoxNzQ1ODA=,callabike,bicycle,2020-01-29 10:33:08+01:00,2020-01-29 10:43:08+01:00,13.380106,52.51884,13.379248,52.52863000000001
16241nextbike,nextbike,bycicle,2019-12-24 00:45:00+01:00,2019-12-24 01:41:00+01:00,13.4010843,52.52232494,13.404886722564695,52.540801790535575
